country,pri_2015,low_2015,upp_2015,col_2015,pri_1960,low_1960,upp_1960,col_1960,pri_1975,low_1975,pri_1990,low_1990,pri_2005,low_2005,edu_score_2015,edu_score_1960,ladder_score_2015,ladder_score_1960,gain_1960_2015,year_crossed_60pct_primary,gender_gap_primary_2015,gender_gap_lowsec_2015,sequential_gap_2015,peak_decade,peak_decade_gain,archetype,trajectory,world_rank_2015,world_rank_gain,world_rank_ladder,world_rank_speed,world_rank_gender
singapore,99.3,96.2,97.2,85.2,31.5,10.0,13.6,1.0,66.9,44.0,89.1,77.9,98.2,93.1,94.5,14.0,93.0,10.9,80.4,1975.0,0.0,-0.2,3.1,1980–1990,19.2,Universal,Breakthrough,1,1,1,65,100
japan,99.4,93.6,97.3,61.0,89.4,59.5,53.7,10.3,99.9,80.7,99.9,84.8,99.9,91.1,87.8,53.2,83.8,44.5,34.6,1960.0,0.1,0.3,5.8,1960–1970,11.6,Universal,Strong Progress,2,84,2,23,92
canada,98.4,83.7,92.1,67.6,82.1,46.4,59.0,19.9,93.7,61.9,96.4,70.9,98.9,75.9,85.5,51.9,82.5,45.6,33.6,1960.0,0.4,1.7,14.7,1960–1970,12.4,Near-Universal,Strong Progress,3,86,3,23,74
australia,98.8,95.5,97.9,48.8,79.4,58.9,62.9,7.0,94.1,80.9,97.9,89.4,98.9,93.1,85.3,52.1,80.0,44.4,33.2,1960.0,0.2,0.5,3.3,1960–1970,12.0,Universal,Strong Progress,4,91,5,23,82
ireland,96.7,88.7,92.3,63.2,42.6,20.7,24.6,2.8,70.4,47.2,92.3,73.6,96.5,83.9,85.2,22.7,81.8,18.6,62.5,1975.0,0.3,1.5,8.0,1970–1980,18.6,Universal,Breakthrough,5,4,4,65,78
georgia,98.3,91.1,94.4,48.8,87.0,63.0,62.9,12.3,97.7,82.9,98.8,89.0,98.3,92.0,83.1,56.3,78.0,48.3,26.8,1960.0,0.0,0.7,7.2,1960–1970,14.3,Universal,Strong Progress,6,110,6,23,100
bahamas,99.3,96.5,95.6,35.8,53.3,27.7,29.7,3.7,83.2,63.3,95.4,83.1,97.8,93.9,81.8,28.6,75.0,23.4,53.2,1965.0,0.1,0.6,2.8,1970–1980,18.4,Universal,Breakthrough,7,20,10,51,87
cyprus,97.7,85.3,90.9,52.4,41.5,16.9,23.5,1.9,73.4,47.1,92.6,68.6,95.7,78.4,81.6,21.0,76.9,16.9,60.6,1970.0,0.5,1.3,12.4,1970–1980,17.9,Universal,Breakthrough,8,6,7,58,69
belarus,99.4,95.1,97.3,32.6,65.6,46.6,31.3,4.3,98.3,84.6,99.4,88.8,99.4,93.3,81.1,37.0,74.0,29.8,44.2,1960.0,0.2,1.2,4.3,1960–1970,25.4,Universal,Breakthrough,9,47,11,23,84
new zealand,95.5,87.9,87.7,52.1,63.6,35.4,43.1,10.2,82.7,60.1,91.8,75.6,94.7,83.5,80.8,38.1,76.1,32.6,42.7,1960.0,0.7,1.7,7.6,1960–1970,14.1,Universal,Breakthrough,10,53,8,23,61
kazakhstan,99.2,94.1,93.5,31.3,71.5,50.4,40.3,5.9,96.4,74.7,99.0,84.1,98.9,90.9,79.5,42.0,72.2,34.6,37.5,1960.0,0.3,1.2,5.1,1960–1970,16.2,Universal,Strong Progress,11,73,17,23,78
lithuania,93.7,79.3,89.2,55.2,76.8,52.5,39.8,15.9,99.2,72.4,99.2,75.8,98.8,84.3,79.3,46.3,75.6,39.3,33.1,1960.0,0.5,2.8,14.4,1960–1970,23.1,Near-Universal,Strong Progress,12,92,9,23,69
armenia,99.0,89.7,95.5,32.6,90.1,62.4,66.0,4.9,98.9,78.7,99.1,84.1,99.0,86.1,79.2,55.9,72.3,46.9,23.4,1960.0,0.1,1.4,9.3,1960–1970,12.0,Universal,Strong Progress,13,123,16,23,92
puerto rico,96.9,87.7,89.7,41.1,57.0,26.2,40.2,4.0,80.8,53.0,90.5,69.5,94.2,80.6,78.9,31.9,72.9,26.7,47.0,1965.0,0.6,1.9,9.2,1960–1970,14.1,Universal,Breakthrough,14,39,12,51,65
tajikistan,99.6,94.1,96.1,24.4,74.9,38.0,32.9,1.9,97.4,69.0,99.1,80.0,99.3,88.6,78.5,36.9,70.6,28.9,41.6,1960.0,-0.1,-1.2,5.5,1960–1970,18.6,Universal,Breakthrough,15,58,23,23,107
sweden,98.5,82.3,86.4,45.8,61.4,41.9,41.2,5.3,90.8,68.0,97.6,75.9,97.1,78.4,78.3,37.5,72.8,31.4,40.8,1960.0,0.0,1.8,16.2,1960–1970,15.8,Near-Universal,Breakthrough,16,61,14,23,100
poland,94.3,81.0,95.0,41.1,97.8,47.1,47.5,5.5,99.6,59.6,99.7,68.2,99.3,73.2,77.9,49.5,72.7,39.6,28.4,1960.0,0.7,2.2,13.3,1960–1970,8.2,Near-Universal,Strong Progress,17,103,15,23,61
france,95.0,80.7,88.7,46.8,52.7,22.9,33.8,6.3,75.6,43.4,89.6,63.1,94.0,71.2,77.8,28.9,72.9,24.3,48.9,1965.0,0.8,1.6,14.3,1960–1970,13.6,Near-Universal,Breakthrough,18,31,13,51,60
slovenia,99.1,86.5,93.2,32.2,91.6,62.5,62.6,12.0,94.7,65.0,98.6,78.6,99.4,84.1,77.8,57.2,70.8,48.6,20.6,1960.0,-0.2,2.3,12.6,1980–1990,7.2,Universal,Moderate Progress,19,131,22,23,111
turkmenistan,99.6,97.0,97.4,15.9,82.2,48.9,35.6,1.6,97.0,76.7,98.9,89.1,99.3,94.3,77.5,42.1,68.5,33.0,35.4,1960.0,-0.1,0.4,2.6,1960–1970,17.2,Universal,Strong Progress,20,82,33,23,107
channel islands,100.0,81.0,82.2,45.5,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,77.2,75.0,71.4,64.3,2.2,1960.0,0.0,1.9,19.0,1960–1970,0.0,Near-Universal,Early Achiever,21,163,19,23,100
switzerland,97.0,82.9,88.9,39.5,83.5,52.2,56.9,7.9,90.5,62.5,93.2,74.3,95.8,81.2,77.1,50.1,71.1,42.2,27.0,1960.0,-0.1,0.2,14.1,1960–1970,7.4,Near-Universal,Strong Progress,22,109,21,23,107
ukraine,99.6,90.5,94.5,23.7,78.9,47.3,45.6,8.4,99.4,68.8,99.6,73.8,99.2,81.9,77.1,45.1,69.1,37.4,32.0,1960.0,0.1,1.1,9.1,1960–1970,19.3,Universal,Strong Progress,22,93,26,23,87
hungary,98.4,78.2,89.4,41.9,91.2,38.8,27.6,4.6,97.8,46.4,98.4,62.3,98.4,67.8,77.0,40.5,71.3,30.9,36.4,1960.0,0.3,1.8,20.2,1960–1970,13.2,Near-Universal,Strong Progress,24,79,20,23,78
uzbekistan,98.1,90.8,93.5,24.4,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,76.7,75.0,68.9,64.3,1.7,1960.0,0.1,0.5,7.3,1960–1970,0.0,Universal,Early Achiever,25,164,28,23,87
croatia,99.0,84.5,95.3,26.8,69.9,37.4,37.1,7.5,93.9,59.3,98.9,73.6,99.0,77.5,76.4,38.0,69.0,31.3,38.4,1960.0,0.1,0.8,14.5,1960–1970,15.4,Near-Universal,Strong Progress,26,68,27,23,92
greece,93.2,79.3,86.3,46.3,31.7,12.4,18.7,1.1,62.6,34.5,85.9,59.8,91.0,70.1,76.3,16.0,71.5,12.9,60.3,1975.0,1.1,2.4,13.9,1970–1980,16.5,Near-Universal,Breakthrough,27,8,18,65,51
bosnia and herzegovina,98.4,90.5,90.4,24.1,39.6,19.1,18.6,1.0,71.4,47.2,93.9,67.6,97.6,82.5,75.9,19.6,67.9,15.4,56.3,1975.0,0.1,-0.4,7.9,1970–1980,14.8,Universal,Breakthrough,28,16,36,65,92
czech republic,99.4,80.6,93.8,29.4,99.0,51.0,67.4,4.9,99.0,61.3,99.3,66.7,99.3,70.4,75.8,55.6,68.8,46.1,20.2,1960.0,0.2,1.2,18.8,1960–1970,6.2,Near-Universal,Moderate Progress,29,133,30,23,84
azerbaijan,99.6,91.6,92.9,18.7,76.2,47.9,50.0,1.5,96.4,73.7,99.3,83.6,99.3,88.6,75.7,43.9,67.1,36.0,31.8,1960.0,-0.2,0.2,8.0,1960–1970,14.0,Universal,Strong Progress,30,94,38,23,111
germany,95.4,76.8,88.2,41.4,96.4,56.8,61.7,14.2,96.8,65.5,96.8,73.6,96.8,76.7,75.4,57.3,70.1,48.6,18.2,1960.0,0.4,1.5,18.6,1960–1970,6.8,Near-Universal,Moderate Progress,31,139,25,23,74
netherlands,95.1,76.9,87.1,42.6,77.5,32.9,39.3,3.1,86.1,48.7,92.8,62.2,95.4,72.5,75.4,38.2,70.2,30.5,37.2,1960.0,0.9,4.1,18.2,1980–1990,8.5,Near-Universal,Strong Progress,32,76,24,23,56
new caledonia,98.0,83.9,82.1,36.0,32.4,11.0,18.1,0.9,56.5,27.6,81.5,56.1,95.9,78.0,75.0,15.6,68.3,12.5,59.4,1980.0,0.4,4.2,14.1,1980–1990,14.8,Near-Universal,Breakthrough,33,10,35,73,73
austria,97.2,80.0,83.6,38.1,66.0,44.7,45.4,5.7,89.4,61.8,98.4,76.9,97.9,78.8,74.7,40.4,68.5,34.0,34.3,1960.0,-0.1,1.4,17.2,1960–1970,11.5,Near-Universal,Strong Progress,34,85,33,23,110
montenegro,97.9,81.2,91.0,27.0,66.3,34.4,39.1,3.5,93.2,60.1,97.8,70.2,97.6,76.2,74.3,35.8,67.0,29.3,38.5,1960.0,0.0,0.3,16.7,1960–1970,15.7,Near-Universal,Strong Progress,35,67,39,23,100
luxembourg,93.2,77.5,84.7,41.0,62.8,28.1,39.5,4.4,76.1,44.6,84.1,59.7,94.3,69.8,74.1,33.7,68.8,27.8,40.4,1960.0,0.5,3.1,15.7,1960–1970,9.8,Near-Universal,Breakthrough,36,62,31,23,69
macao special administrative region of china,93.9,76.0,81.4,44.4,17.4,2.0,4.3,0.0,49.9,16.5,79.0,44.6,93.1,62.7,73.9,5.9,68.8,4.1,68.0,1980.0,1.8,3.5,17.9,1980–1990,14.2,Near-Universal,Breakthrough,37,2,29,73,38
norway,99.6,69.8,79.2,46.9,99.3,45.1,56.4,8.6,99.2,52.3,99.2,64.3,99.1,64.5,73.9,52.4,68.6,43.0,21.5,1960.0,0.0,4.3,29.8,1970–1980,6.0,Near-Universal,Moderate Progress,38,128,32,23,100
serbia,98.0,81.3,90.5,25.6,58.2,37.4,31.6,7.0,90.8,59.6,97.7,67.0,97.5,74.0,73.9,33.5,66.4,27.9,40.3,1965.0,0.2,1.1,16.7,1960–1970,17.4,Near-Universal,Breakthrough,39,63,41,51,82
belgium,96.8,74.8,83.4,37.9,62.1,22.4,28.4,4.2,83.8,38.0,92.6,52.2,95.0,61.2,73.2,29.3,67.2,23.3,43.9,1960.0,-0.3,-1.1,22.0,1960–1970,11.2,Near-Universal,Breakthrough,40,49,37,23,114
mongolia,92.5,82.5,77.7,37.6,48.3,23.9,29.6,2.5,79.2,50.7,93.1,69.4,84.4,72.1,72.6,26.1,66.5,21.4,46.5,1965.0,2.3,4.9,10.0,1960–1970,17.3,Near-Universal,Breakthrough,41,42,40,51,26
latvia,95.1,74.7,82.6,36.2,95.7,62.4,57.0,10.9,99.4,66.7,99.2,70.6,97.0,77.4,72.2,56.5,66.1,47.2,15.7,1960.0,1.0,4.2,20.4,1960–1970,7.9,Near-Universal,Moderate Progress,42,144,43,23,54
martinique,92.5,80.3,82.4,33.1,29.7,5.7,12.4,0.6,54.7,23.0,74.4,47.9,89.3,69.3,72.1,12.1,65.8,9.2,60.0,1980.0,1.8,3.4,12.2,1970–1980,12.8,Near-Universal,Breakthrough,43,9,44,73,38
estonia,92.2,65.8,83.1,42.9,94.0,43.5,56.4,8.9,99.0,51.7,98.9,55.5,97.3,61.0,71.0,50.7,66.3,42.0,20.3,1960.0,0.9,3.7,26.4,1960–1970,10.5,Near-Universal,Moderate Progress,44,132,42,23,58
french polynesia,97.1,80.4,78.8,27.4,37.5,11.2,17.0,0.9,63.8,30.8,81.8,56.1,94.3,71.4,70.9,16.7,63.4,12.9,54.3,1975.0,1.1,4.9,16.7,1960–1970,12.9,Near-Universal,Breakthrough,45,19,49,65,50
finland,94.3,68.0,89.2,32.1,58.6,22.8,41.0,3.5,90.0,48.2,99.8,55.3,99.7,52.3,70.9,31.5,65.0,26.2,39.4,1965.0,-0.2,1.2,26.3,1960–1970,15.9,Near-Universal,Strong Progress,46,66,45,51,113
bulgaria,94.0,74.9,83.4,31.2,87.5,38.0,42.3,7.7,95.6,53.2,96.1,63.7,92.6,67.6,70.9,43.9,64.5,35.5,27.0,1960.0,-0.4,0.7,19.1,1960–1970,11.1,Near-Universal,Strong Progress,47,108,46,23,115
denmark,99.8,66.2,81.6,35.4,99.8,28.3,49.4,5.9,99.3,37.5,99.2,45.5,99.8,49.5,70.8,45.9,64.4,36.5,24.9,1960.0,0.1,3.5,33.6,1960–1970,6.6,Near-Universal,Strong Progress,48,116,47,23,87
romania,95.7,71.0,78.9,34.4,63.6,25.8,24.7,2.3,93.8,41.3,96.9,53.2,94.0,62.6,70.0,29.1,63.7,22.5,40.9,1960.0,0.5,1.8,24.7,1960–1970,14.4,Near-Universal,Breakthrough,49,59,48,23,69
malaysia,94.9,80.3,75.8,25.5,16.1,3.0,6.0,0.1,48.1,20.9,77.9,49.1,91.9,70.7,69.1,6.3,61.5,4.7,62.8,1985.0,0.5,2.6,14.6,1980–1990,15.4,Near-Universal,Breakthrough,50,3,54,83,69
italy,98.7,72.7,78.9,26.1,39.4,13.7,12.7,1.0,80.0,34.7,94.7,55.7,97.6,60.8,69.1,16.7,61.5,12.6,52.4,1970.0,0.3,3.4,26.0,1970–1980,15.7,Near-Universal,Breakthrough,51,22,53,58,78
malta,99.7,71.2,67.2,38.2,38.1,11.4,11.4,2.7,63.1,20.1,99.8,42.5,99.5,61.1,69.1,15.9,62.3,12.1,53.2,1975.0,0.1,5.2,28.5,1970–1980,17.1,Near-Universal,Breakthrough,52,21,52,65,92
israel,91.1,75.1,73.2,35.8,41.9,15.0,22.2,3.6,63.3,33.0,74.1,47.8,85.0,64.1,68.8,20.7,62.8,16.8,48.1,1975.0,2.3,5.7,16.0,1960–1970,10.6,Near-Universal,Breakthrough,53,34,51,65,25
spain,90.4,66.7,70.7,43.2,40.1,10.9,12.8,1.6,74.7,27.7,88.4,40.6,88.7,52.4,67.8,16.4,62.8,12.3,51.4,1970.0,2.0,5.2,23.7,1960–1970,12.7,Near-Universal,Breakthrough,54,25,50,58,32
trinidad and tobago,95.0,70.8,70.7,33.8,30.6,3.4,13.9,0.2,50.8,19.1,79.0,42.4,89.3,59.3,67.6,12.0,61.0,9.1,55.5,1985.0,1.2,4.8,24.2,1980–1990,15.2,Near-Universal,Breakthrough,55,18,55,83,49
guadeloupe,89.1,76.3,76.7,27.8,25.0,3.7,9.8,0.3,51.0,19.0,73.4,43.6,83.8,64.5,67.5,9.7,60.9,7.3,57.8,1985.0,2.5,3.9,12.8,1980–1990,13.2,Near-Universal,Breakthrough,56,12,57,83,22
egypt,84.0,75.9,74.3,31.4,13.0,3.2,7.6,0.3,30.3,20.3,51.4,39.2,73.6,61.7,66.4,6.0,60.7,4.8,60.4,2000.0,-1.4,-1.0,8.1,1990–2000,13.0,Secondary Transition,Breakthrough,57,7,58,103,126
philippines,83.8,79.1,77.0,25.4,27.1,11.0,22.6,1.3,45.7,26.2,60.6,48.8,72.6,67.4,66.3,15.5,60.0,13.1,50.8,1990.0,2.5,2.9,4.7,1980–1990,10.3,Secondary Transition,Breakthrough,58,27,59,91,22
saudi arabia,88.0,69.5,67.4,39.9,11.4,1.6,7.6,0.2,26.0,9.9,58.8,30.7,81.3,58.6,66.2,5.2,61.0,4.2,61.0,1995.0,-1.4,1.7,18.5,1990–2000,16.5,Near-Universal,Breakthrough,59,5,56,96,126
iceland,97.4,60.3,71.8,34.9,99.9,29.3,45.5,5.9,100.0,34.5,100.0,43.0,100.0,46.5,66.1,45.1,59.8,35.7,20.9,1960.0,0.0,5.7,37.1,1970–1980,4.9,Secondary Transition,Moderate Progress,60,130,60,23,100
chile,95.2,71.4,74.7,22.8,47.7,13.0,22.9,1.3,73.8,29.1,85.5,45.0,92.1,57.5,66.0,21.2,58.4,16.6,44.8,1970.0,0.5,2.2,23.8,1960–1970,10.0,Near-Universal,Breakthrough,61,46,62,58,69
peru,84.3,71.7,75.9,28.4,34.1,10.0,25.2,1.3,56.1,25.7,68.2,45.2,75.7,57.1,65.1,17.6,59.2,14.7,47.4,1980.0,-0.9,-0.5,12.6,1960–1970,10.1,Secondary Transition,Breakthrough,62,35,61,73,120
antigua and barbuda,82.7,72.7,73.3,26.2,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,63.7,75.0,57.7,64.3,-11.3,1960.0,4.4,5.8,10.0,1960–1970,0.0,Secondary Transition,Early Achiever,63,165,63,23,5
mayotte,87.7,70.4,70.8,25.8,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,63.7,75.0,57.1,64.3,-11.3,1960.0,1.4,1.5,17.3,1960–1970,0.0,Near-Universal,Early Achiever,64,166,67,23,47
barbados,82.6,72.5,73.1,26.1,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,63.6,75.0,57.5,64.3,-11.4,1960.0,4.5,6.0,10.1,1960–1970,0.0,Secondary Transition,Early Achiever,65,167,64,23,4
reunion,87.5,70.2,70.7,25.6,16.8,2.4,7.7,0.4,37.2,13.2,58.2,33.2,82.9,58.2,63.5,6.8,56.9,5.3,56.7,1995.0,1.6,1.7,17.3,1990–2000,13.8,Near-Universal,Breakthrough,66,14,68,96,43
seychelles,87.5,70.2,70.5,25.3,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,63.4,75.0,56.7,64.3,-11.6,1960.0,1.6,1.7,17.3,1960–1970,0.0,Near-Universal,Early Achiever,67,168,69,23,43
grenada,82.3,72.2,72.8,25.9,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,63.3,75.0,57.3,64.3,-11.7,1960.0,4.8,6.3,10.1,1960–1970,0.0,Secondary Transition,Early Achiever,68,169,65,23,3
portugal,89.1,61.4,66.7,34.2,13.9,1.4,6.1,0.1,34.6,9.8,59.0,29.8,86.0,45.3,62.8,5.4,57.2,4.1,57.5,1995.0,2.2,5.4,27.7,1990–2000,14.4,Secondary Transition,Breakthrough,69,13,66,96,28
sri lanka,89.6,65.8,64.2,31.8,37.6,6.7,17.7,1.3,55.4,20.7,70.8,37.3,84.5,54.4,62.8,15.8,56.6,12.3,47.0,1985.0,1.6,3.6,23.8,1990–2000,10.4,Near-Universal,Breakthrough,69,38,70,83,41
guam,90.6,61.3,66.4,28.9,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,61.8,75.0,55.4,64.3,-13.2,1960.0,2.0,3.0,29.3,1960–1970,0.0,Secondary Transition,Early Achiever,71,170,72,23,32
fiji,90.6,61.3,66.3,28.9,22.0,8.3,8.6,2.0,51.0,16.7,72.7,31.8,83.6,40.9,61.8,10.2,55.3,8.1,51.5,1980.0,2.0,3.0,29.3,1990–2000,11.1,Secondary Transition,Breakthrough,72,24,73,73,32
thailand,85.0,65.7,66.9,29.5,10.8,1.6,2.9,0.0,24.0,6.4,44.8,25.4,78.9,53.6,61.8,3.8,55.9,2.7,58.0,2000.0,2.6,5.0,19.3,1990–2000,15.9,Near-Universal,Breakthrough,72,11,71,103,21
cuba,94.5,66.8,70.6,14.1,49.7,8.3,16.4,0.4,77.4,19.4,87.8,30.9,89.7,46.6,61.5,18.7,53.0,13.7,42.8,1965.0,0.9,4.5,27.7,1960–1970,11.4,Near-Universal,Breakthrough,74,52,75,51,56
turkey,92.8,58.8,62.5,31.8,11.1,2.8,5.4,0.2,28.7,10.1,58.4,31.8,74.0,44.9,61.5,4.9,55.1,3.8,56.6,1995.0,-2.6,0.1,34.0,1980–1990,12.9,Secondary Transition,Breakthrough,75,15,74,96,140
algeria,89.1,64.4,61.9,20.3,10.1,0.3,2.1,0.0,31.6,5.3,64.5,22.6,80.5,45.5,58.9,3.1,51.5,2.1,55.8,1990.0,-1.9,2.8,24.7,1980–1990,13.2,Secondary Transition,Breakthrough,76,17,78,91,132
albania,95.5,58.8,57.1,23.5,50.3,14.5,17.2,1.1,90.8,31.7,96.2,41.8,94.0,51.3,58.7,20.8,50.9,15.6,38.0,1965.0,0.0,1.6,36.7,1960–1970,14.8,Secondary Transition,Strong Progress,77,69,80,51,100
lebanon,86.7,57.0,58.6,32.5,24.8,2.5,6.4,0.2,51.3,12.7,70.8,28.6,77.5,40.8,58.7,8.5,52.9,6.0,50.2,1985.0,1.9,2.8,29.7,1980–1990,9.5,Secondary Transition,Breakthrough,78,29,76,83,36
united arab emirates,87.4,63.7,57.2,24.2,25.4,6.4,11.8,0.6,61.4,33.4,64.6,45.7,70.1,53.0,58.1,11.1,51.1,8.6,47.1,1975.0,2.4,16.2,23.7,1960–1970,21.8,Secondary Transition,Breakthrough,79,37,79,65,24
occupied palestinian territory,91.5,55.0,55.4,27.7,23.7,3.2,8.4,0.3,48.2,17.2,68.5,32.8,86.3,42.1,57.4,8.9,50.6,6.6,48.5,1985.0,1.9,5.2,36.5,1960–1970,10.7,Secondary Transition,Breakthrough,80,32,82,83,35
panama,77.8,61.4,61.6,27.1,26.9,7.2,17.1,0.6,48.0,19.7,61.4,37.4,70.5,50.7,57.0,13.0,51.5,10.5,44.0,1985.0,2.3,4.0,16.4,1970–1980,11.3,Primary Building,Breakthrough,81,48,77,83,26
guyana,90.1,60.6,63.6,13.5,49.2,10.9,19.6,0.6,68.2,20.6,76.8,31.8,84.5,45.2,56.9,20.1,48.9,15.2,36.9,1970.0,-1.8,4.1,29.5,2000–2010,9.0,Secondary Transition,Strong Progress,82,77,85,58,131
colombia,74.0,63.9,61.4,25.2,14.2,2.2,8.6,0.1,31.7,10.9,45.7,29.7,65.1,54.9,56.1,6.3,50.8,5.0,49.9,2000.0,2.7,3.0,10.1,1990–2000,12.4,Primary Building,Breakthrough,83,30,81,103,20
jordan,76.5,58.8,58.0,29.2,30.3,6.4,13.6,0.4,54.0,26.2,63.4,42.8,66.2,52.0,55.6,12.7,50.5,9.7,43.0,1985.0,0.0,0.0,17.7,1960–1970,14.9,Primary Building,Breakthrough,84,51,83,83,100
argentina,75.1,60.3,62.4,24.6,26.5,6.5,19.1,0.7,41.5,17.2,55.2,32.5,67.5,48.5,55.6,13.2,50.3,10.9,42.4,2000.0,3.5,4.5,14.8,2000–2010,8.1,Primary Building,Breakthrough,85,56,84,103,12
